Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.94),ID83D (ID8 0.991),ID83E (ID3 0.984),ID83F (ID6 0.998),ID83G (ID9 0.993),ID83H (ID4 0.987),ID83I (ID14 0.989)
INS,C,1,4,0.00288623,0.00145901,2.98e-06,0.00087241,0.00801168,0.00025515,0.00032715,0.00025036,0.00073536
INS,C,1,5+,0.00874807,0.02220764,1.134e-05,0.00949869,0.00829446,3.904e-05,0.00183159,0.00327835,0.00256113
INS,T,1,0,0.0010876,0.00231764,0.01175064,0.00489751,0.01595897,0.00604203,0.01408163,0.00568836,0.03682919
INS,T,1,1,2e-07,3.89e-06,0.01445872,0.00599943,0.06195969,0.00028789,0.00506676,0.00047781,0.00281456
INS,T,1,2,0.00064412,2.926e-05,0.02946442,0.00345367,0.05559838,0,0.0013659,0.00052641,0.00142451
INS,T,1,3,0.00116021,0.00371371,0.02308703,0.00392606,0.03111949,3.348e-05,0.00114951,0.00096158,0.0002625
INS,T,1,4,0.00374851,0.01513628,0.01462603,0.00620372,0.00838074,0.00049895,0.00328268,0.00208072,0.004873
INS,T,1,5+,0.00293649,0.90375166,0.00037655,0.01601895,0.00198056,0.0055911,0.01834198,0.01126262,0.1786769
DEL,repeats,2,0,3.102e-05,0.00016187,0.02531633,0.0094916,0.00893083,0.00037831,0.01248209,0.0881845,0.00195139
DEL,repeats,2,1,0.00311369,0.00015222,0.01420133,0.00819952,0.01203657,0.00064583,0.00131899,0.18915026,0.00879611
DEL,repeats,2,2,0.00177038,0.0004361,0.0020034,0.00035308,0.01265476,0.00156393,0.00015442,0.04380868,0.00280129
DEL,repeats,2,3,0.00095092,0.00015334,0,3.344e-05,0.00598102,0.00035301,1.167e-05,0.00970286,0.00031813
DEL,repeats,2,4,0.00091462,7.03e-06,0.00032907,0.00027089,0.00320509,0.0001341,0.0002394,0.00326678,0.00035326
DEL,repeats,2,5+,0,1e-08,0.02190393,0.00336888,0.00029721,2e-08,0.00090501,0.00126016,0
DEL,repeats,3,0,1.883e-05,2.909e-05,0.01759418,0.01369703,0.00164994,0.00149213,0.00147408,0.00485692,0.00151347
DEL,repeats,3,1,0.00463172,0.00425894,0.00062334,0.00276823,2.399e-05,0.00366853,0.00239332,0.09990132,0.00591286
DEL,repeats,3,2,0.00213591,0.0005967,0.00043162,0.00040233,5.64e-06,0.0004638,0.00075042,0.01336235,0.00166435
DEL,repeats,3,3,0.00051993,0.00032813,0.00034927,0.00046634,3.855e-05,0.00012463,0.00029542,0.0036185,0.0003976
DEL,repeats,3,4,0,1e-08,0.00600433,0.00060085,8.33e-06,2e-08,0.00021051,0.00045932,6.21e-06
DEL,repeats,3,5+,0,1e-08,0.00872098,0.0009905,0.0002381,5.601e-05,0.0003483,0.00039438,2.561e-05
DEL,repeats,4,0,1.85e-06,6.187e-05,0.01170803,0.00734637,0.0002026,0.00257654,0.00081796,0.00564235,0.0002441
DEL,repeats,4,1,0.0019722,0.00053736,0.00019352,0.00088249,0.00101007,0.00234486,0.00281722,0.05403845,0.0011321
DEL,repeats,4,2,0.00045768,0,8.04e-06,3.19e-06,0,0.00049319,7.697e-05,0.01046974,0.00063818
DEL,repeats,4,3,2.6e-07,0,0.00357196,0.00045351,1.646e-05,0.00011514,0.00013811,0.003698,6.661e-05
DEL,repeats,4,4,0,5e-08,0.00487684,0.00067029,0.00016236,1.852e-05,0.00018266,0.00010704,0
DEL,repeats,4,5+,0.00018363,2.867e-05,0.00150708,0.0001704,8.391e-05,7.531e-05,5.762e-05,0.00072054,5.003e-05
DEL,repeats,5+,0,0,0,0.01820278,0.25746305,0.00145527,0.03224187,0.00068964,0.00239311,0.00063921
DEL,repeats,5+,1,0.00317316,4.3e-07,0.00010823,3.616e-05,1.7e-07,0.00700354,0.00030033,0.01190066,0.00057048
DEL,repeats,5+,2,0.0004303,8.977e-05,0.00025176,0.00029014,2.014e-05,0.00044903,7.508e-05,0.00270651,3.977e-05
DEL,repeats,5+,3,0.00013441,8.22e-06,0.00017846,2.852e-05,3.493e-05,0.00016502,0.00015447,0.00096243,9.826e-05
DEL,repeats,5+,4,8.815e-05,1.02e-06,4.146e-05,1.19e-05,4.822e-05,7.091e-05,0.00012153,0.00013925,1.417e-05
DEL,repeats,5+,5+,4.034e-05,1.905e-05,0.00068831,9.174e-05,3.2e-07,0,4.216e-05,0.00011702,2.679e-05
INS,repeats,2,0,0.00024124,0.00058755,0.00819216,0.00240902,0.00208,0.00194287,0.00101152,0.00118865,0.02478452
INS,repeats,2,1,0.00028404,6.05e-06,0.01971788,0.00315243,0.00348061,0.0001705,0.00120938,0.00048775,3.85e-06
INS,repeats,2,2,0.00102785,0.00025112,0.0074241,0.00104852,0.0014505,0.00037763,0.00048198,0.00014154,0.00110267
INS,repeats,2,3,0.00046774,0.00045733,0.00123261,0.00054295,0.00089353,0.00037108,0.00044764,0.00030356,0.00094802
INS,repeats,2,4,0.00218722,0.00262253,3.6e-05,0.00100048,0.00022891,5.671e-05,0.00039315,0.00033289,0.00343571
INS,repeats,2,5+,0.01622365,0.01663399,0.00060967,0.0112106,4.23e-06,5.494e-05,0.00265613,0.00325116,0.00040643
INS,repeats,3,0,2.604e-05,5.144e-05,0.00403008,0.00071142,0.0002634,0.00098726,0.00058197,0.00013365,0.00771726
INS,repeats,3,1,0.00112739,0.00039269,0.00675416,0.00112178,0.00040538,0.00010711,0.00077845,0.00062957,0.00295708
INS,repeats,3,2,0.00018565,5.103e-05,0.0013348,0.00016148,0.00016518,0.00076969,5.198e-05,0.00106334,0.00030388
INS,repeats,3,3,1.926e-05,0.00016213,1.94e-05,8.221e-05,3.59e-06,0.00028894,3.224e-05,1.431e-05,0.00027762
INS,repeats,3,4,0.00012937,0.00010538,1.253e-05,0.00011432,2.281e-05,0.00014875,5.859e-05,0.00012997,0.00088155
INS,repeats,3,5+,0.0021905,0.00116865,1.433e-05,0.00053702,1.12e-05,1.06e-06,0.00019266,0.00022102,0.00186277
INS,repeats,4,0,1.952e-05,1.8e-06,0.00272055,0.00085691,3.734e-05,0.00161853,9.901e-05,0.00048256,0.00500286
INS,repeats,4,1,0.00123896,0.00071509,0.00450385,0.00142159,2.758e-05,0.0006824,0.0012982,0.00169748,0.00173426
INS,repeats,4,2,5.61e-06,5.134e-05,0.00030615,0.00016137,0.00013561,0.0004137,4.49e-05,2.289e-05,5.609e-05
INS,repeats,4,3,0.00024608,5.897e-05,8.2e-07,3.822e-05,2.31e-06,0.0003602,7.52e-06,6.935e-05,0.00077267
INS,repeats,4,4,0.00015865,0.00039762,1.33e-05,0.000206,2.51e-06,1.277e-05,0.00017299,0.00026496,0.00139844
INS,repeats,4,5+,0.00229997,0.00091977,0.00080359,0.00132013,9.54e-06,9.364e-05,0.00013267,0.00026407,0.00019226
INS,repeats,5+,0,0,2e-08,0.00495785,0.00046731,5.445e-05,0.0081728,0.00016074,0.00011506,0.00268216
INS,repeats,5+,1,4.345e-05,0.00174511,0.00694998,0.01028508,0.00024545,0.00605768,0.00155558,0.00276657,0.02358216
INS,repeats,5+,2,1.119e-05,0.00024756,0.00034797,8.636e-05,6.02e-06,0.00123115,3.678e-05,4.458e-05,0.00052532
INS,repeats,5+,3,9.485e-05,0.00022947,0.0001635,0.00015908,9.237e-05,5.658e-05,0.00015511,5.555e-05,0.00010264
INS,repeats,5+,4,9.74e-06,0.0002183,0.00015682,5.816e-05,1.119e-05,2.051e-05,0.00017008,1.218e-05,1.654e-05
INS,repeats,5+,5+,7.577e-05,0.00020273,0.00062702,0.00045787,4.496e-05,1.533e-05,4.063e-05,3.732e-05,0
DEL,MH,2,1,2.405e-05,6.023e-05,0.01998858,0.00235843,0.00996446,7.848e-05,0.00084763,0.19967178,0.00516032
DEL,MH,3,1,4.94e-06,7.75e-06,0.01384133,0.01128856,0.00115555,0.00140613,0.00149108,0.00617148,0.00123142
DEL,MH,3,2,0.00270223,0.00162044,0.00706681,0.00407594,0.00064711,0.0038932,0.00068774,0.0413382,0.00389199
DEL,MH,4,1,6.237e-05,5.971e-05,0.00882388,0.00551116,0.00036511,0.00270514,0.00185077,0.01207494,0.00015508
DEL,MH,4,2,0.00052154,5.125e-05,0.00434798,0.00120659,0.00038858,0.00907956,0.00151068,0.02993711,0.00102157
DEL,MH,4,3,0.0005539,3.92e-06,0.00106507,0.0001973,6.7e-06,0.00463287,0.00169728,0.0464888,0.0022512
DEL,MH,5+,1,0.00052325,0,0.0043354,0.29015273,0.00092453,0.08747662,0,0.00025666,0.00186876
DEL,MH,5+,2,2e-08,1e-08,0.00201769,0.09744409,0.00106097,0.25991462,4.396e-05,1.322e-05,0.0015386
DEL,MH,5+,3,0,1.1e-07,0.00206471,0.01799891,0.00055338,0.22733765,0.00015188,0.00027813,5.049e-05
DEL,MH,5+,4,0.00040047,9.3e-07,8.485e-05,8.466e-05,0.00080538,0.12819608,3.35e-05,0.0029338,4.282e-05
DEL,MH,5+,5+,0.00241185,0.00040337,0.00069989,0.00154886,0,0.10458299,7.751e-05,0.00087925,0.00066048
