Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID5 0.88),ID83D (ID8 0.99),ID83E (ID3 0.977),ID83F (ID6 0.998),ID83G (ID13 0.989),ID83H (ID9 0.993),ID83I (False Positive) (ID1 0.369),ID83J (ID4 0.991),ID83K (ID14 0.98)
DEL,repeats,4,5+,9.75e-05,1.246e-05,0.00203762,0,6.821e-05,7.005e-05,0.00055577,3.39e-06,0.00076349,0.00067384,2.569e-05
DEL,repeats,5+,0,0,0,0.00808939,0.30462389,0.00094365,0.012272,0.02255722,9.919e-05,0.00059828,0.00264303,0.00064735
DEL,repeats,5+,1,0.00312647,0,8.667e-05,0,0,0.00745088,0.00102027,8.551e-05,0.00191572,0.01181524,0.00045712
DEL,repeats,5+,2,0.00036829,6.285e-05,0.00026189,0.00026931,1.944e-05,0.00044228,0.00026966,4.626e-05,0.00095623,0.0028063,3.607e-05
DEL,repeats,5+,3,9.221e-05,3.82e-06,0.00031432,2.82e-05,9.33e-06,0.00017491,4.86e-05,7.859e-05,0.00043,0.0009287,8.722e-05
DEL,repeats,5+,4,3.925e-05,9.6e-07,7.137e-05,1.929e-05,3.704e-05,8.32e-05,2.781e-05,4.867e-05,0.00034912,0.00013007,1.91e-05
DEL,repeats,5+,5+,2.052e-05,1.579e-05,0.00072196,8.07e-06,1.203e-05,0,0.00057664,2.643e-05,5.131e-05,0.00015302,5.17e-06
INS,repeats,2,0,0.00014922,0.00047223,0.0059684,0.00179902,0.00233517,0.00199581,0.01126397,0.00078264,0.00155959,0.00086687,0.02641637
INS,repeats,2,1,0.00022173,4.98e-06,0.02663778,0.00114903,0.00283892,6.032e-05,0.00691253,0.00140976,0.00018836,0.00064945,0
INS,repeats,2,2,0.00079282,0.00016547,0.01049376,0.00031918,0.00125969,0.00039199,0.00209325,0.00036566,0.00246185,0.00013312,0.0011019
INS,repeats,2,3,0.00028808,0.00030598,0.00139275,0.00038756,0.00087049,0.00037498,0.000914,0.00032382,0.00254867,0.00040875,0.00096974
INS,repeats,2,4,0.00139742,0.00167771,8.223e-05,0.00048799,0.00020972,4.829e-05,2.223e-05,5.246e-05,0.01326408,0.00048661,0.00357904
INS,repeats,2,5+,0.00794687,0.00775468,0.00086725,0.00224852,2.17e-06,6.45e-06,0.00013195,1.15e-06,0.12991899,0.00458009,0.0001016
INS,repeats,3,0,0,4.749e-05,0.00498479,0.00042137,0.00025946,0.0010344,0.00198114,0.0004405,3.903e-05,0.0001931,0.00821254
INS,repeats,3,1,0.00071434,0.00023648,0.00740198,0.00030922,0.00027131,7.548e-05,0.00519659,0.00060876,0.00424726,0.00057631,0.00309011
INS,repeats,3,2,0.00011262,2.429e-05,0.00185915,1.75e-06,0.0001193,0.00082415,0.00050861,1.29e-06,0.00069578,0.00107853,0.00029132
INS,repeats,3,3,6.37e-06,0.00012996,0,4.321e-05,1.26e-06,0.00029224,7.562e-05,3.077e-05,0.00024697,1.288e-05,0.00031817
INS,repeats,3,4,7.708e-05,6.804e-05,3.525e-05,0.0001067,1.355e-05,0.00016067,6e-08,3.282e-05,0.00060676,0.00012819,0.00091235
INS,repeats,3,5+,0.00155132,0.00060815,0.00016325,0.00015211,7e-07,3.9e-07,1.66e-06,0,0.00904421,0.0002544,0.00207963
INS,repeats,4,0,5.87e-06,0,0.00223947,0.00072046,0.00010025,0.00169669,0.00313202,1.028e-05,2.126e-05,0.00041595,0.00532971
INS,repeats,4,1,0.00066886,0.00032784,0.00381579,0.00079702,1.122e-05,0.00064604,0.00523142,0.00092615,0.0072205,0.0017782,0.00194135
INS,repeats,4,2,0,2.882e-05,0.00031996,0.00015521,0.00018162,0.00043856,0.00022799,1.078e-05,6.558e-05,7.142e-05,8.106e-05
INS,repeats,4,3,0.00025156,5.367e-05,4.6e-06,2.479e-05,1.33e-06,0.00038381,6.7e-07,2.6e-07,0.00022555,7.357e-05,0.00079727
INS,repeats,4,4,8.972e-05,0.00031059,2.009e-05,0.00017162,1e-08,3.78e-06,3.025e-05,0.00013313,0.00120853,0.00026229,0.00147255
INS,repeats,4,5+,0.0015742,0.00044344,0.000751,0.00099523,3.9e-06,3.623e-05,0.00077943,6.02e-06,0.00884444,0.00031802,0.00016157
INS,repeats,5+,0,0,2e-08,0.0052296,0,8.13e-05,0.00886277,0.00392555,2.214e-05,2.493e-05,0.00011593,0.00280193
INS,repeats,5+,1,2.019e-05,0.00156734,0.00150388,0.01122246,0.00030084,0.00576438,0.01498478,0.00114013,0.00227939,0.00229666,0.02534625
INS,repeats,5+,2,2.97e-06,0.00019851,0.00033284,1.351e-05,8.87e-06,0.00134212,0.00032978,9.78e-06,0.00041941,5.065e-05,0.00055626
INS,repeats,5+,3,4.585e-05,0.00017811,0.00027364,9.225e-05,5.406e-05,5.522e-05,1.054e-05,0.00013947,0.00085377,5.616e-05,9.235e-05
INS,repeats,5+,4,1.84e-06,0.00016698,0.0002278,3.289e-05,9.41e-06,2.016e-05,4.641e-05,0.00015342,0.00034924,3.039e-05,1.162e-05
INS,repeats,5+,5+,3.555e-05,0.00014593,0.00080096,0.00040744,6e-05,1.56e-06,0.00026047,7.91e-06,0.00070773,2.024e-05,8e-07
DEL,MH,2,1,4.31e-06,4.029e-05,0.02476334,0.0001106,0.00967781,9.883e-05,0.01510218,0.00012918,0.00031935,0.20402946,0.00435925
DEL,MH,3,1,0,6.2e-07,0.00958314,0.01240892,0.00205768,0.00081265,0.01559418,0.00086427,1.486e-05,0.00627754,0.00134562
DEL,MH,3,2,0.00158636,0.00080935,0.01014032,0.00320455,0.0004976,0.00393384,0.00232847,0.00026523,0.014409,0.04161232,0.00388254
DEL,MH,4,1,2.466e-05,3.104e-05,0.01172923,0.00545174,0.00011678,0.00249081,0.00346087,0.00191778,0.00041531,0.0120794,0.00012679
DEL,MH,4,2,0.00045588,4.416e-05,0.00660733,0.00077236,0.00019228,0.00958327,0.00135455,0.00161163,0.00065581,0.03033459,0.00090593
DEL,MH,4,3,0.00041127,0,0.00202609,4.937e-05,9e-07,0.00503031,0.00049552,0.00098758,0.00152955,0.0475401,0.00204021
DEL,MH,5+,1,0.00052688,0,2.362e-05,0.34421094,4.044e-05,0.06715582,0.00611026,0.00016471,0.00082393,0.00023296,0.00142016
DEL,MH,5+,2,1e-08,2e-08,0.0012274,0.11659401,0.00118451,0.27126154,0.00484369,2.145e-05,0.00021019,0.00012006,0.00145989
DEL,MH,5+,3,0,0,0.00436462,0.02134126,0.00059786,0.24437904,0.00062898,2.84e-06,0,0.0003267,2.371e-05
DEL,MH,5+,4,0.00032568,0,0.00071568,0.00015453,0.00111038,0.13910583,1.543e-05,0,0.0005421,0.00336081,2.204e-05
DEL,MH,5+,5+,0.00196512,0.00017874,0.00011771,0.00048551,0,0.11282181,0.005565,0,0.00542714,0.00047221,0.00067874
