Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 0.999),ID83B (ID1 1),ID83C (False Positive) (ID5 0.879),ID83D (ID8 0.989),ID83E (ID3 0.977),ID83F (ID6 0.997),ID83G (ID13 0.989),ID83H (ID9 0.993),ID83I (False Positive) (ID1 0.4),ID83J (ID4 0.992),ID83K (ID14 0.98)
DEL,repeats,2,5+,0,0,0.03034858,4.558e-05,0.00047849,7.86e-06,0.00943448,0,0.00030134,0.001188,0
DEL,repeats,3,0,0,1.146e-05,0.01880251,0.01481638,0.00164415,0.00051495,0.01297061,0.00130228,0.00023636,0.00468889,0.00149521
DEL,repeats,3,1,0.00204444,0.00260251,0.00116378,5.891e-05,5.04e-06,0.00385361,0.00058834,0.0006321,0.03152343,0.10579977,0.00404287
DEL,repeats,3,2,0.00141104,0.00037146,0.00014181,5.945e-05,0,0.00046104,0.00067888,0.00035849,0.00777164,0.01480352,0.00139098
DEL,repeats,3,3,0.00025215,0.00016245,0.00048903,0.0002554,3.338e-05,0.00011683,9.142e-05,0.00019222,0.00310041,0.00372794,0.00033061
DEL,repeats,3,4,0,0,0.00801058,5.18e-06,1.604e-05,0,0.00215019,0,7.957e-05,0.00050753,4.11e-06
DEL,repeats,3,5+,0,0,0.01245935,6.62e-06,0.0001371,2.45e-05,0.00269249,0,0.00013671,0.00041603,1.495e-05
DEL,repeats,4,0,8.4e-07,4.156e-05,0.0093518,0.00798832,0.00065915,0.00224912,0.01244565,0.00039055,0.000183,0.00611163,0.00022269
DEL,repeats,4,1,0.00118387,0.00022668,0.00014089,0.00042867,0.00104297,0.00240226,7e-05,0.00216234,0.00887194,0.05928849,5.43e-05
DEL,repeats,4,2,0.00047694,0,0,0,0,0.0005135,1.794e-05,1.35e-05,0.00023,0.01136479,0.00039738
DEL,repeats,4,3,0,0,0.00434547,8.63e-06,0.0001121,9.984e-05,0.00212586,7e-08,6.744e-05,0.00398154,0
DEL,repeats,4,4,0,2e-08,0.0063147,8.781e-05,0.00015795,8.72e-06,0.00221005,0,3.664e-05,0.00022036,0
DEL,repeats,4,5+,0.00010733,1.486e-05,0.00200221,1.5e-06,4.037e-05,9.884e-05,0.00055206,0,0.00072803,0.0006842,2.71e-05
DEL,repeats,5+,0,0,0,0.00977515,0.31480911,0.00097809,0.01027843,0.01628822,6.873e-05,0.00039541,0.00213827,0.00060705
DEL,repeats,5+,1,0.00318525,0,0,4.45e-06,0,0.00746608,0.00094753,3.104e-05,0.00174549,0.01260455,0.00018013
DEL,repeats,5+,2,0.00036459,7.161e-05,0.0002233,0.00028418,2.267e-05,0.0004264,0.00027152,5.526e-05,0.00095756,0.00301546,6.9e-07
DEL,repeats,5+,3,7.59e-05,1.2e-06,0.00028851,4e-06,1.57e-05,0.00018619,5.114e-05,6.546e-05,0.00055651,0.00094509,6.829e-05
DEL,repeats,5+,4,3.983e-05,6.5e-07,6.41e-05,3e-08,3.451e-05,7.313e-05,1.721e-05,3.728e-05,0.00034636,0.00013879,8.83e-06
DEL,repeats,5+,5+,2.285e-05,1.071e-05,0.00076055,1.8e-07,6.56e-06,0,0.00061476,4.013e-05,5.782e-05,0.00013478,5.1e-07
INS,repeats,2,0,0.00013802,0.00050784,0.00608293,0.00184249,0.00234869,0.0019809,0.01163605,0.00058754,0.0014763,0.00085679,0.02680185
INS,repeats,2,1,0.00020753,3.62e-06,0.02790042,0.00122573,0.0027255,4.949e-05,0.00678933,0.00116347,0.00060142,0.00031352,1.09e-06
INS,repeats,2,2,0.00077916,0.00014818,0.01067009,0.00029811,0.00121075,0.00035481,0.00200254,0.00043137,0.00263181,1.775e-05,0.00114799
INS,repeats,2,3,0.00027024,0.00032822,0.00141748,0.00030627,0.00086722,0.00036707,0.00096173,0.000397,0.00247646,0.00030553,0.00099489
INS,repeats,2,4,0.00141045,0.00189836,1.447e-05,2.351e-05,0.00018614,4.074e-05,0.00023286,7.85e-05,0.01160758,8.4e-05,0.0036927
INS,repeats,2,5+,0.00815347,0.00990472,0.00017928,0.00021794,6.9e-07,8.54e-06,0.00266244,3.339e-05,0.10930653,9.3e-07,0.0001189
INS,repeats,3,0,1.1e-07,4.253e-05,0.0052183,0.00037853,0.00023775,0.00103375,0.00175688,0.00046861,0.00011314,0.00015294,0.00823581
INS,repeats,3,1,0.00070399,0.00025655,0.00753176,0.00036442,0.00031754,7.106e-05,0.00527777,0.00044718,0.0043032,0.00038081,0.00305627
INS,repeats,3,2,0.0001185,2.432e-05,0.00193172,2.82e-06,0.00010592,0.00082276,0.00048211,2.11e-06,0.00068914,0.00114153,0.00028276
INS,repeats,3,3,5.66e-06,0.00013082,0,2.712e-05,4.94e-06,0.00030803,9.015e-05,1.58e-05,0.00018045,2.8e-06,0.00029237
INS,repeats,3,4,8.492e-05,7.828e-05,1.674e-05,9.851e-05,1.726e-05,0.00014158,1.634e-05,3.575e-05,0.00054404,0.00011373,0.00088226
INS,repeats,3,5+,0.00155434,0.00070839,2.352e-05,3.269e-05,1e-06,0,0.0001644,6.49e-06,0.0081061,0,0.00206416
INS,repeats,4,0,6.7e-06,6.5e-07,0.00237091,0.00070702,0.00013058,0.00169628,0.00293497,1.3e-06,2.965e-05,0.00041143,0.00533224
INS,repeats,4,1,0.00065924,0.00036775,0.00382464,0.00070118,2.171e-05,0.00063236,0.00548867,0.00075413,0.00711233,0.00157996,0.00194872
INS,repeats,4,2,0,3.152e-05,0.00036368,0.00016105,0.00015268,0.00040287,0.00020152,2.544e-05,6.195e-05,5.751e-05,6.681e-05
INS,repeats,4,3,0.00024685,5.234e-05,6.5e-07,3e-08,1.1e-06,0.00039913,1.42e-05,1.17e-06,0.00020275,7.779e-05,0.00078645
INS,repeats,4,4,9.793e-05,0.00034031,3.96e-06,0.00010017,6.6e-07,3.36e-06,4.931e-05,0.00015766,0.00097896,0.00026678,0.00149356
INS,repeats,4,5+,0.00151046,0.00054368,0.0006304,0.00092812,1.93e-06,3.904e-05,0.00081786,1.87e-06,0.00866888,4.594e-05,0.00014612
INS,repeats,5+,0,0,2e-08,0.00560421,6.67e-06,6.434e-05,0.00882261,0.00369724,0,7.122e-05,4.935e-05,0.00289222
INS,repeats,5+,1,2.636e-05,0.00165962,0.00162513,0.01157092,0.00029153,0.00574387,0.0152542,0.00101596,0.00146351,0.00204649,0.02549339
INS,repeats,5+,2,3.07e-06,0.00021667,0.00037165,1.151e-05,8.23e-06,0.00136569,0.00024755,4.97e-06,0.00029845,5.692e-05,0.00054554
INS,repeats,5+,3,5.387e-05,0.00018418,0.00027629,3.373e-05,6.515e-05,5.767e-05,2.387e-05,0.00013176,0.00076876,9.92e-06,0.00010038
INS,repeats,5+,4,1.99e-06,0.00017019,0.00024472,1.284e-05,1.072e-05,2.586e-05,5.74e-05,0.00012459,0.00026414,0,1.884e-05
INS,repeats,5+,5+,3.52e-05,0.00016256,0.00087796,0.00037149,5.328e-05,2.53e-06,0.00019475,5.56e-06,0.0005772,1.74e-06,5e-07
DEL,MH,2,1,0,5.77e-06,0.02539085,0.00011253,0.00987165,0,0.0133721,3.41e-05,0.00038352,0.21531799,0.00134611
DEL,MH,3,1,0,2.2e-07,0.01093759,0.01274121,0.00188653,0.00078791,0.01408908,0.0009361,0.00016584,0.00636973,0.00135023
DEL,MH,3,2,0.00153332,0.00092341,0.01021148,0.00304941,0.00047487,0.00390666,0.00179747,0.00022466,0.01400219,0.0438279,0.00325305
DEL,MH,4,1,2.207e-05,2.058e-05,0.01199323,0.00559446,8.629e-05,0.00251534,0.00318413,0.00191618,0.00048756,0.01280502,0
DEL,MH,4,2,0.00047385,3.668e-05,0.00680224,0.00083462,0.00018925,0.00966853,0.0010032,0.00150448,0.00081233,0.03176739,0.00048353
DEL,MH,4,3,0.00034499,0,0.00197782,5.262e-05,0,0.00498907,0.00011051,0.00100022,0.00192659,0.05008408,0.00144542
DEL,MH,5+,1,0.00054965,0,6.21e-06,0.35607019,4.308e-05,0.0643251,0.00077123,7.957e-05,0.00045457,0.00011389,0.00151608
DEL,MH,5+,2,0,2e-08,0.00127401,0.12015981,0.00112517,0.27262417,0.00378934,3e-08,0.00010907,4.2e-07,0.0014389
DEL,MH,5+,3,0,1e-08,0.00457135,0.02168079,0.00055875,0.2468964,0.0005242,1.803e-05,0.00010776,0.00021438,3.866e-05
DEL,MH,5+,4,0.00034391,0,0.00065723,8.593e-05,0.00107948,0.1405927,0,0,0.00042495,0.00351937,3.22e-06
DEL,MH,5+,5+,0.00202449,0.00018953,0,0.00041272,0,0.11371548,0.00599632,0,0.00501687,0.00036049,0.0006545
