Type,Subtype,Indel_size,Repeat_MH_size,W.1,W.2,W.3,W.4,W.5,W.6,W.7,W.8,W.9
INS,T,1,3,0.00108215420033689,0.00435742593673339,0.000850592697836663,0,0.0185100742229548,0.000853931576792774,0.0601625344898444,1.02515819539048e-77,0
INS,T,1,4,0.00349377301345787,0.0169117461419993,0.00122213742636761,2.78166858481026e-197,0.0132147279534582,0.000635226179136519,0.0192994050848243,8.14602482916185e-297,1.77631181878207e-253
INS,T,1,5+,0.00316069542096406,0.900096464733645,7.45037060377021e-19,3.97970892427599e-184,3.12213908266452e-05,0.0148525541396589,8.89693720133819e-20,0.00020752309013293,4.82898868801056e-106
DEL,repeats,2,0,0.000106174427519206,0.000174387467019526,0.00073871870026107,0,0.0302199135579823,0.00903416376306157,4.37935830484199e-10,0.0163584901521401,0.0747509336478471
DEL,repeats,2,1,0.00330053090867968,5.77196772949338e-05,0.00109367052109664,0.00518524881632293,0.0173976211429129,0.0111619440950524,0.00883030845573596,0.00494616234913424,0.241772041927133
DEL,repeats,2,2,0.00183051574094833,1.280187164042e-11,0.00219706509203072,0.00290089770035284,0.00294097138191321,0,0.0131917380942791,0.00148231014494727,0.0577696121888808
DEL,repeats,2,3,0.000772866414499625,0.000113684687609309,0.000180269214755676,0.000538019673712488,0,0,0.00730208231726328,0,0.0126429729146027
DEL,repeats,2,4,0.000865707594747332,0,0,0,0.000554974561077137,0,0.00414915398381575,0,0.00292669403375547
DEL,repeats,2,5+,0,0,0,0,0.0286864945021101,0,0.00252067550437779,0,0
DEL,repeats,3,0,1.20433369323046e-05,7.54039033451127e-05,2.49923606595086e-10,0.00113166056339195,0.0195687174506946,0.0121613089303861,3.19745852211523e-05,0.00253351757719429,0.00435762393572038
DEL,repeats,3,1,0.00488364383002685,0.00465889485093782,0.00576296049355076,0.00340543282175843,0.00257912779532705,0.00176528860091112,0,0.00185382666527902,0.100813199109723
DEL,repeats,3,2,0.00235918238983106,0.000398755668034387,0.000782487310891621,0.00102096772536657,0.000197703350851563,0,0,0,0.0219492157158117
DEL,repeats,3,3,0.000453732800912615,0.000112338014290027,0,0.000536930120212917,4.50514642305696e-05,0,0,0,0.00451899023682733
DEL,repeats,3,4,0,0,0,0,0.00770836960755621,0,0.000386310428725121,0,0
DEL,repeats,3,5+,0,0,0,0,0.0112467193276194,0,0.00074926070643523,0,0
DEL,repeats,4,0,8.2482527457777e-06,2.86416397678768e-05,0.00204537779918882,0,0.0122770893502867,0.00741293330393348,5.90395012851578e-103,0.000878585472166307,0.00749338725175896
DEL,repeats,4,1,0.00207592308031073,0.000480075730355319,0.0029735786679684,0,0.000220606947391582,0.00202219392436264,0,0.00271496739719322,0.0662503934949179
DEL,repeats,4,2,0.000481090986678832,0,0.000303780429058531,0.000453427976777846,0,0,0,0,0.0113279345268287
DEL,repeats,4,3,5.28597995505253e-07,0,1.35145362533394e-05,0,0.0049487448466363,0,0,0,0.00335016485372714
DEL,repeats,4,4,0,0,0,0,0.00614732313909746,0,6.05976192591741e-05,0,0
DEL,repeats,4,5+,0.000202914788602371,0,0,0,0.00154253367004097,0,0,0,7.38658634671127e-05
DEL,repeats,5+,0,0,0,7.26737090719349e-50,4.60218009988884e-98,0.0149036049991792,0.259485615969633,0.000932752166534498,2.54141256217796e-115,0.00147670742563985
DEL,repeats,5+,1,0.00299298199477864,2.93591704655153e-211,0.00892926511576618,0.000526728456872508,0.000150551784305186,0,0,0,0.0132801465979209
DEL,repeats,5+,2,0.000411216395976698,0,0.000273504213000728,0,3.09615604496461e-136,0,0,0,0.00217358152486956
DEL,repeats,5+,3,0.000144175449347227,0,0,0,0,0,0,0,0.000493478263763872
DEL,repeats,5+,4,7.44332207018922e-05,0,0,0,0,0,0,0,2.96312612769309e-05
DEL,repeats,5+,5+,2.56744279190773e-05,2.00246771443974e-06,0,3.90412564612167e-05,0.00013150290476064,0,0,0,2.81143192343342e-05
INS,repeats,2,0,0.000349881352065376,0.000289273743770087,0.00205311588734488,0.0367995806366681,0.00876405938940081,0.00160292865557238,0.00226429940390919,0.00112536893452739,1.13264526864334e-191
INS,repeats,2,1,0.000263016580706622,0,0,0,0.0218123021802532,0.000995774077003612,0.00304034345538683,0.00163698905568067,0
INS,repeats,2,2,0.00106563465204441,7.5863030958315e-05,0.000763552927890822,0.00213301332995378,0.00865855920599523,0,0.00183000694219757,0,0
INS,repeats,2,3,0.00042593220955468,0.00029679006315884,0.000360745852369292,0.00123013608360459,0.00123885991498618,0,0.00123879420434993,0,0
INS,repeats,2,4,0.00199831664157545,0.0027998656451032,0,0.00296957562171543,0,0,0,0,0
INS,repeats,2,5+,0.0136799192321969,0.0180929858544255,0.000357138847733805,0,0.00107974019426262,0.00152557668439052,0,2.88565386784965e-281,1.69417177902843e-34
INS,repeats,3,0,5.48730586167436e-05,0,0.00146805867956902,0.0105702677753535,0.00494598083919276,0,0.000138910542873342,0,0
INS,repeats,3,1,0.0012559998530155,0.000133808286781077,0.000154014672978875,0.00466623644328637,0.00814216854268314,7.93209536928237e-250,0.000621763197993222,0,0
INS,repeats,3,2,0.00020851303408179,0,0.000721796343939469,0.000275873831873802,0.000807877414437267,0,2.08550313188214e-05,0,0.000325350489591896
INS,repeats,3,3,1.89908141351279e-05,6.86993395574977e-05,7.39316479109948e-06,0.000272390415352654,0,0,0,0,0
INS,repeats,3,4,0.000150605170837681,1.86782203544685e-06,0,0.000634316084974515,0,0,0,0,0
INS,repeats,3,5+,0.00199942414027046,0.00076070885592789,0,0.00289838549116848,0,0,0,0,0
INS,repeats,4,0,1.31415219025105e-05,0,0.00172786124428798,0.00954473380123214,0.00330239738826632,0,0,0,0
INS,repeats,4,1,0.00120795253412018,0.000714349492131477,0.000480715949458666,0.00257111735991626,0.00469832528891384,0.000912659368438624,0.00043276777458656,5.04217356197664e-274,0.00119030141829253
INS,repeats,4,2,2.09204373971338e-05,3.14100687796688e-05,0.000286733437480539,0,9.21669541740404e-06,0,0,0,6.29666934455777e-05
INS,repeats,4,3,0.000158733299149188,2.09152725511898e-05,7.36875266104208e-06,0.00111369535875223,0,0,0,0,0
INS,repeats,4,4,0.000298174392971598,6.42986054035222e-05,0,0.00248754195959622,0,0,0,0,2.72106852468293e-05
INS,repeats,4,5+,0.00224224558570813,0.000885309958150589,0,1.22868491315412e-153,0.000595110725577348,0.000273023125964972,0,0,1.381117365777e-169
INS,repeats,5+,0,0,0,0.0099550998371808,0.00495468663406225,0.00606814661901113,0,0.000173577335677408,0,0
INS,repeats,5+,1,0.000121268323044591,0.00150916769232733,0.00515304462275695,0.045761045199463,0.00749666933966166,0.00995581802253932,0.000483558142584639,0.000519724220025827,0.00208252972242399
INS,repeats,5+,2,2.74282944000487e-05,0.000129777651500807,0.00138325179855135,0.000786545828214065,0,0,0,0,7.85795607125979e-05
INS,repeats,5+,3,0.000131033488666369,6.21328816799851e-05,0,0,0,0,0,0,0
INS,repeats,5+,4,2.55624985660939e-05,0.000117051368095292,0,3.32566126562432e-05,0,0,0,0,0
INS,repeats,5+,5+,0.000136925631436211,1.72107808656277e-05,0,0,0.000181695588257274,0,0,0,7.40791435511923e-05
DEL,MH,2,1,8.666547497605e-63,1.04858172285406e-07,0,0.000795591215136451,0.0249779536901566,0.00520319732169465,0.00598604323396316,0.00572807481543302,0.200959602890261
DEL,MH,3,1,0,1.69887352489184e-05,0.000124046708986574,0.0019971331386368,0.0147499726957902,0.0102352426286188,7.19590678686488e-276,0.00230503904408347,0.00675641054047379
DEL,MH,3,2,0.00287532918908542,0.00128846967938608,0.00457576412696839,0.00314193303679004,0.00783870728911795,0.00493959076225604,0.000432369091292028,0.000769621494136688,0.0526259669602964
DEL,MH,4,1,0.000133369937613678,3.7071341253294e-197,0.00265466893529136,0,0.00960139198323412,0.00642298790539981,0,0.00101924800577324,0.0114878773120978
DEL,MH,4,2,0.000495755387060158,0,0.0100480831563689,0.000726951008015276,0.00545259088855795,0.00108276438026632,0,0.0020766009932111,0.0316416954261704
DEL,MH,4,3,0.000595301396597669,0,0.00547589757789733,0.00234273996338358,0.00179740871993272,0.000975896717117081,0.000108087558513893,0.000764726246343243,0.0519412808121722
DEL,MH,5+,1,0.000556504780931531,3.16365120953084e-268,0.0546120099140219,0,2.10702325371122e-32,0.30518095013864,0,0,0
DEL,MH,5+,2,3.49693447318417e-05,0,0.27713211568322,0.00177209686854847,0.000206853781186412,0.134137188295558,1.70235301893542e-245,6.19500685459829e-192,0
DEL,MH,5+,3,1.11295202342073e-308,0,0.242751114652215,0.000289016755209335,0.00272495475623623,0.0497021190494278,1.31566944992433e-202,5.13278565088394e-210,6.12785701296975e-304
DEL,MH,5+,4,0.000418332204763903,0,0.135862128635419,0,0,0.017310677512629,5.54753237411771e-231,2.09156963726813e-282,0.00304174308480697
DEL,MH,5+,5+,0.00237994645978646,0.00052527783466914,0.112696887084703,0.00073552032564052,0.000439988853024943,0.0132350807393451,0,0,1.15014889024632e-14
