Type,Subtype,Indel_size,Repeat_MH_size,ID83A,ID83B,ID83C,ID83D,ID83E,ID83F,ID83G,ID83H,ID83I,ID83J,ID83K,ID83L
DEL,repeats,3,2,0.00173951,0.00016381,0.00696071,0.00013838,0.00033875,8.62e-06,0.00037986,0.0004605,0.00032618,0.01784203,0.00066704,0.00233544
DEL,repeats,3,3,0.0003451,0.0002307,0.00097557,0.00094535,0.00017932,1.988e-05,7.6e-07,3.678e-05,0.00011004,0.00424192,0.00028363,0.00055287
DEL,repeats,3,4,0,1e-08,0,0.00711742,1.061e-05,0.0001792,7e-08,0,0.00680036,0.00034126,0.00112437,3.92e-05
DEL,repeats,3,5+,0,2e-08,0,0.00997457,0.00011567,0.00013823,8.75e-06,0,0.00957712,0.00011243,0.00119908,1.353e-05
DEL,repeats,4,0,9.1e-07,7.65e-06,1.774e-05,0.01516814,0.00795632,0.00038784,0.00142195,0.0013696,0.00632156,0.00790806,0.00010311,0.00016484
DEL,repeats,4,1,0.00097015,0.00013887,0.00886617,0.00021623,0.00017244,5.176e-05,0.00241564,0.00174551,0.00014354,0.06244326,0.00081894,0.00238702
DEL,repeats,4,2,0.00037519,0,0.00119695,2.71e-06,6.4e-06,9.7e-07,0.00050666,0.00023588,2.29e-06,0.01111164,4.801e-05,0.00082011
DEL,repeats,4,3,7e-08,0,4.51e-06,0.0058265,8.82e-06,8.77e-06,0.00014813,2.5e-07,0.0019148,0.00365492,0.00012421,0.0001426
DEL,repeats,4,4,0,1e-08,0,0.00437133,0.00013958,7.639e-05,3.01e-06,0,0.00650508,0.00073364,0.00088013,2.575e-05
DEL,repeats,4,5+,0.00012551,1.65e-06,0.000803,0.00296219,1.791e-05,0,0,6.61e-06,0.00087031,0.00017686,0.00011213,1.31e-05
DEL,repeats,5+,0,9e-08,0,5e-08,0.00918743,0.31151034,0.00231022,0.00551601,6.032e-05,0.01927559,0.00228736,0.00019237,0.00154498
DEL,repeats,5+,1,0.00241368,1.81e-06,0.0061487,2.13e-06,6.6e-07,0,0.00804492,1.347e-05,0.00081432,0.00909022,0.0004409,0.00063603
DEL,repeats,5+,2,0.00027095,2.836e-05,0.00119573,0.00066855,0.00048215,2.19e-06,0.00047518,4.862e-05,8.401e-05,0.00283153,9.392e-05,0.00017887
DEL,repeats,5+,3,6.607e-05,7.79e-06,0.00047176,0.00033207,0,1.677e-05,0.00010499,1.88e-06,0.00015286,0.00137171,7.087e-05,0.00019571
DEL,repeats,5+,4,6.911e-05,1.055e-05,0.00011812,6.304e-05,7.535e-05,3.487e-05,6.928e-05,2.66e-06,0.00012821,3.21e-06,1.185e-05,1.78e-06
DEL,repeats,5+,5+,3.26e-06,8.24e-06,0.00015482,0.00101875,1.594e-05,8.7e-07,3.144e-05,5.522e-05,0.00029907,0.00038184,6.228e-05,0.00010552
INS,repeats,2,0,0.00012566,0.00023759,0.00206675,0.00753847,0.00188779,0.00304639,0.0020702,0.00022379,0.01029121,0.00119411,0.00130642,0.02443878
INS,repeats,2,1,0.00012673,0,0.00054872,0.02880998,0.0017483,0.00311184,0,0.0012571,0.00846653,0.00022772,6.073e-05,4.262e-05
INS,repeats,2,2,0.00042663,5e-06,0.00540132,0.01121713,0.00021206,0.00120581,0.00054883,0.00018148,0.00228326,0.00051343,0.00030257,0.00094508
INS,repeats,2,3,0.00024274,0.00044045,0.00138462,0.0015874,7.049e-05,0.00139796,0.0004966,0.00024248,0.00060507,0.00015006,0.00047622,0.00140969
INS,repeats,2,4,0.00121066,0.00202821,0.01046155,2.975e-05,1.865e-05,0.00013089,4.184e-05,3.904e-05,0.00022366,0.00040948,0.00175441,0.00286573
INS,repeats,2,5+,0.00508865,0.00992333,0.08403241,0.0002855,0.00047547,0,0.00017708,7.614e-05,0.00455658,0.00426562,0.01321718,0.00414689
INS,repeats,3,0,2.819e-05,1.9e-06,0.00020796,0.00573477,0.00065139,0.00039457,0.00088812,1.347e-05,0.00157154,0.00029022,0.00027621,0.00734596
INS,repeats,3,1,0.00077128,0.00011642,0.00368102,0.00825453,0.00054576,0.00010338,7.827e-05,0.00072909,0.0055321,0.00052245,0.0005924,0.00288896
INS,repeats,3,2,0.00017063,1.95e-06,0.00079604,0.00159966,0.00010752,3.159e-05,0.00082651,7.265e-05,0.00075947,0.00085922,4.537e-05,0.00011878
INS,repeats,3,3,1.325e-05,0.00013901,0.00012251,1.426e-05,1.376e-05,3.86e-06,0.00030977,0,1.187e-05,1.677e-05,0.00015367,0.00056861
INS,repeats,3,4,7.44e-05,7.737e-05,0.00040205,3.992e-05,5.642e-05,3.112e-05,0.00021534,4.97e-06,2.104e-05,0.00016787,0.0001194,0.00050551
INS,repeats,3,5+,0.00144051,0.00096352,0.00519335,4.45e-06,5.1e-07,4.9e-07,2.4e-07,3.293e-05,0.00019736,7.957e-05,0.00078765,0.00231951
INS,repeats,4,0,2.65e-06,7e-08,7.661e-05,0.00342893,0.00061395,1.05e-06,0.00150969,6.523e-05,0.00184963,0.00020952,0.00030427,0.00667055
INS,repeats,4,1,0.00077627,0.00041016,0.00546645,0.00498571,0.00086352,3.37e-06,0.00041011,0.00106223,0.00384503,0.00143393,0.00118105,0.00096082
INS,repeats,4,2,8.05e-06,4.961e-05,0.00011955,0.00064336,5.57e-05,1.533e-05,0.00049022,2.305e-05,0.00021698,0.00024559,7.365e-05,3.386e-05
INS,repeats,4,3,0.00013409,6.369e-05,0.00045178,1.146e-05,5.4e-07,5.841e-05,0.00033961,0.00012789,2.46e-06,9.916e-05,9.951e-05,0.00062439
INS,repeats,4,4,0.0001045,0.00014137,0.0016785,1.273e-05,0.00011193,1.2e-07,6.577e-05,3.688e-05,7.474e-05,0.00038408,0.00028742,0.00189696
INS,repeats,4,5+,0.00152821,0.00048226,0.00722941,0.00122189,0.00060368,1.337e-05,0.00015174,1.11e-06,0.00025102,0.0004437,0.00086237,0.00051362
INS,repeats,5+,0,0,4e-08,0.00011644,0.00351432,6.256e-05,0.00036436,0.00884337,9.53e-06,0.00759003,0.00018101,0.00103462,0.00367416
INS,repeats,5+,1,1.21e-05,0.00114156,0.00263313,0.00393159,0.01031198,8.158e-05,0.00625773,0.00132691,0.01271509,0.00399663,0.00334812,0.0345139
INS,repeats,5+,2,1.12e-06,0.00013674,0.00052118,0.00041667,1.769e-05,6.734e-05,0.00119871,9.312e-05,7.323e-05,0.00019884,0.00091991,0.00088969
INS,repeats,5+,3,2.838e-05,0.00020429,0.00063523,0.00031845,1.942e-05,1.754e-05,1.6e-06,5.302e-05,2.919e-05,3.986e-05,9.114e-05,3.677e-05
INS,repeats,5+,4,3.2e-07,0.00021756,0.00029054,0.0002352,1.899e-05,3.12e-06,8.59e-06,6.41e-06,5.909e-05,8.908e-05,0.00018647,0.00042671
INS,repeats,5+,5+,2.306e-05,1.973e-05,0.00094419,0.00088912,0.00028075,3.728e-05,4.306e-05,5.209e-05,9.218e-05,0.00013989,0.00022826,0.00030268
DEL,MH,2,1,1.309e-05,3.826e-05,8.555e-05,0.02970556,0.00020117,0.00684487,5.94e-06,0.00057492,0.01399289,0.19703601,0.00018435,0.00509727
DEL,MH,3,1,0,8.28e-06,6.914e-05,0.0155701,0.01198084,0.00074064,0.0004325,0.00254778,0.0084429,0.00712046,0.00013402,0.00112023
DEL,MH,3,2,0.00155824,0.00050871,0.01099978,0.01041445,0.00259279,0.00016296,0.00419506,0.00043129,0.00233293,0.05516518,0.00185485,0.0047187
DEL,MH,4,1,7.257e-05,1.41e-06,0.00022703,0.0130989,0.00642322,6.56e-06,0.00242529,0.00208089,0.00330872,0.01093075,8.99e-06,0.00024527
DEL,MH,4,2,0.00027329,1.63e-06,0.00141279,0.00857038,0.00027493,3.809e-05,0.0091179,0.00207007,0.00063884,0.03036889,0.00010501,0.0015913
DEL,MH,4,3,0.00042273,2.39e-06,0.00158199,0.00210575,0.00018552,8.61e-06,0.00521145,0.00069853,0.00068558,0.03637478,0.00044708,0.00343266
DEL,MH,5+,1,0.00040977,0,7.1e-06,3.263e-05,0.37471563,1.713e-05,0.05577071,9.71e-06,0.00027616,1.931e-05,1e-08,0.00019417
DEL,MH,5+,2,1e-08,3e-08,5e-08,0.00998215,0.10463985,0.00179547,0.30407778,2.41e-06,0.00036625,1e-07,5.64e-06,0.00098453
DEL,MH,5+,3,0,3e-08,1e-08,0.00254256,0.02409651,0.00091797,0.23678889,9e-08,0.0011224,9.379e-05,1.2e-07,0.00013694
DEL,MH,5+,4,0.00029586,0,0.0007162,0.00024755,0.00143904,0.00036727,0.13362842,2.017e-05,0,0.00294718,2.104e-05,5.458e-05
DEL,MH,5+,5+,0.00119746,0.00013888,0.00930629,0,0.00017599,0,0.10723812,6.68e-06,0.00351982,0.00022978,0.00056003,0.00022395
