Type,Subtype,Indel_size,Repeat_MH_size,ID83A (ID2 1),ID83B (ID1 1),ID83C (ID5 0.926),ID83D (ID8 0.991),ID83E (ID3 0.993),ID83F (ID6 0.999),ID83G (ID9 0.992),ID83H (ID4 0.992),ID83I (ID14 1)
INS,C,1,3,0.00047892,0.00071328,0.00082699,0.00027659,0.00785126,4.044e-05,0.00053667,8.505e-05,0.00178354
INS,C,1,4,0.00286757,0.001606,1.191e-05,0.00113843,0.00727358,8.88e-05,0.00052321,1.195e-05,0.00115248
INS,C,1,5+,0.00860026,0.02198362,5.23e-06,0.00902332,0.00584155,1e-07,0.00408205,0.00010176,0.00140714
INS,T,1,0,0.00124634,0.00214637,0.01464557,0.00555301,0.01501122,0.00551032,0.01015914,0.00457184,0.03203505
INS,T,1,1,5.2e-07,4.1e-07,0.01628784,0.00505684,0.05762676,0.00025719,0.00826732,0.00095998,0.00276684
INS,T,1,2,0.00069205,0.00011799,0.02866931,0.00097919,0.05089506,0,0.00500907,0.00090276,0.00166834
INS,T,1,3,0.00119154,0.00373362,0.02044989,0.00184262,0.02990497,7.979e-05,0.00399837,0.00072904,0.00055335
INS,T,1,4,0.00316584,0.01557197,0.01460084,0.00693525,0.00710132,0.00087375,0.00556638,0.00143833,0.0050723
INS,T,1,5+,0.00243441,0.90502541,0.00070027,0.04402605,0.00178914,0.00371077,0.03984119,0.00513682,0.2395848
DEL,repeats,2,0,0.00012988,0.00021403,0.02871445,0.00906634,0.00666192,0.00136449,0.0132614,0.06709328,0.00096774
DEL,repeats,2,1,0.00349222,0.00015184,0.01314296,0.00583374,0.00967044,0.00046328,0.00275131,0.22101815,0.00642735
DEL,repeats,2,2,0.00175756,0.0001318,0.00206235,0.00029916,0.01162263,0.0012273,0.00054125,0.04914842,0.00206509
DEL,repeats,2,3,0.00077074,0.0002221,0,0.00012047,0.006082,0.00024481,7.236e-05,0.0088836,0.0004645
DEL,repeats,2,4,0.00094621,1.182e-05,0.00041016,0.00010328,0.00322865,0.00013551,0.00017114,0.00275886,1.075e-05
DEL,repeats,2,5+,0,0,0.02140539,0.00059883,0.00029576,1.48e-05,0.00271188,0.00245743,2.77e-06
DEL,repeats,3,0,1.04e-06,0.00011596,0.01757721,0.01163724,0.00112025,0.00179962,0.00341812,0.0049361,0.00109329
DEL,repeats,3,1,0.00498616,0.0038362,0.0020914,0.00242578,5.915e-05,0.00494021,0.00232531,0.08441386,0.00482913
DEL,repeats,3,2,0.00237341,0.00053572,0.00010148,0.00061333,3.292e-05,0.00022927,0.00160434,0.01787826,0.00119575
DEL,repeats,3,3,0.00046749,0.00039025,0.00034233,0.00030468,1.668e-05,8.973e-05,0.00049435,0.00351862,0.00042089
DEL,repeats,3,4,0,3e-08,0.00593874,0.00015446,2.243e-05,1.74e-06,0.00074819,0.00041849,1.966e-05
DEL,repeats,3,5+,0,2e-08,0.00864907,0.00024576,0.00012478,6.66e-06,0.00104575,0.00079715,1e-08
DEL,repeats,4,0,2.96e-06,5.072e-05,0.01125299,0.00650288,0.0005723,0.00237978,0.00194865,0.00755804,0.00031584
DEL,repeats,4,1,0.00223106,0.00049907,0.0002107,0.00080595,0.00033696,0.00263169,0.00355816,0.05757743,0.00086699
DEL,repeats,4,2,0.00054146,1.05e-06,2.8e-07,6.15e-05,4.56e-06,0.00023215,1.374e-05,0.01192231,0.00061522
DEL,repeats,4,3,5.1e-06,0,0.00365947,0.00010639,3.072e-05,2.32e-05,0.0004677,0.00467781,2.442e-05
DEL,repeats,4,4,0,1e-08,0.00420541,0.00011731,7.713e-05,0.00013546,0.00053536,0.00087043,1.73e-06
DEL,repeats,4,5+,0.0002398,2.001e-05,0.00166633,6.088e-05,0.00015748,0,0.00021886,0.00066955,3.04e-05
DEL,repeats,5+,0,0,0,0.01851643,0.25733806,0.00211903,0.02198514,0.00156818,0.00472212,0.00212841
DEL,repeats,5+,1,0.00308274,2.277e-05,0.00018341,0.00013685,0,0.0071561,6.006e-05,0.01385522,0.0001461
DEL,repeats,5+,2,0.00044241,8.437e-05,0.00037412,0.00042564,2.708e-05,0.00031908,0.00021927,0.00220511,3.159e-05
DEL,repeats,5+,3,0.00016226,2.02e-06,0.00014471,1.008e-05,1.193e-05,0.00016433,2.571e-05,0.00137526,0.00017079
DEL,repeats,5+,4,5.088e-05,1.409e-05,8.868e-05,0.0001134,5.862e-05,4.112e-05,2.618e-05,0.00015275,9.3e-07
DEL,repeats,5+,5+,1.682e-05,1.245e-05,0.00059994,3.554e-05,2.88e-05,0,7.581e-05,1.967e-05,0.0001776
INS,repeats,2,0,0.00030683,0.00045824,0.00908664,0.00165314,0.00232267,0.00206953,0.00132934,0.0015491,0.02481033
INS,repeats,2,1,0.00026364,7.76e-06,0.01835061,0.00159943,0.00355135,0.00019973,0.0027014,0.00069122,3.892e-05
INS,repeats,2,2,0.00104684,0.00029772,0.00707439,0.00035417,0.00124947,0.00056564,0.00161278,0.0003497,0.00134424
INS,repeats,2,3,0.00038766,0.00051465,0.00109305,0.0002605,0.00098743,0.00050808,0.00022676,0.00024058,0.00074991
INS,repeats,2,4,0.0019101,0.0028081,2.979e-05,0.00071076,0.00011694,6.288e-05,0.00077912,5.744e-05,0.00251528
INS,repeats,2,5+,0.01435413,0.0157177,0.00050291,0.0077335,1.047e-05,0.00057749,0.00287982,0.00020086,0.00166768
INS,repeats,3,0,4.837e-05,4.4e-07,0.00405561,0.00052403,0.00017148,0.00102186,0.00063541,0.00011294,0.00659275
INS,repeats,3,1,0.00127349,0.00033086,0.00631771,0.00084195,0.00022336,0.00016366,0.00082699,0.00081466,0.00239281
INS,repeats,3,2,0.00022932,1.174e-05,0.00135032,0.00017142,0.00013578,0.00060848,0.00019759,0.00038907,0.00011625
INS,repeats,3,3,6.1e-07,0.0001071,1.665e-05,2.996e-05,0,0.00019145,1.74e-06,0.000103,0.00030771
INS,repeats,3,4,0.00011597,9.302e-05,0,0.00011794,1.408e-05,0.00020761,4.89e-06,5.933e-05,0.00044737
INS,repeats,3,5+,0.00189566,0.00095119,3.14e-06,0.00017212,4.083e-05,3.919e-05,0.00019878,7.7e-07,0.00267191
INS,repeats,4,0,1.075e-05,2.4e-07,0.0026455,0.00064078,4.817e-05,0.0018396,0.00031753,0.00011593,0.00536921
INS,repeats,4,1,0.00116071,0.00082658,0.00394099,0.00136823,0.00024263,0.00053298,0.00098724,0.00115966,0.00187446
INS,repeats,4,2,1.473e-05,5.071e-05,0.00019004,2.426e-05,0.00017241,0.00058475,4.426e-05,2.028e-05,6.415e-05
INS,repeats,4,3,9.785e-05,0.00016401,0,3.428e-05,1.551e-05,0.00028105,1.01e-05,5.12e-06,0.0009234
INS,repeats,4,4,0.00029104,0.00029106,3.39e-05,6.198e-05,0,0.00011014,3.21e-05,3.513e-05,0.00201186
INS,repeats,4,5+,0.00217444,0.00092672,0.00055717,0.00129636,2.627e-05,6.713e-05,0.00039792,1.105e-05,0.00024419
INS,repeats,5+,0,0,3e-08,0.00510951,0.00011702,8e-05,0.00856658,0.00051786,0.00021812,0.00340292
INS,repeats,5+,1,0.00012675,0.00129728,0.00727831,0.00979779,0.00041015,0.00495913,0.00181475,0.00188917,0.02816146
INS,repeats,5+,2,2.63e-06,0.00027234,0.00023374,1.885e-05,2.34e-05,0.00165051,2.792e-05,0.00015641,0.00056086
INS,repeats,5+,3,9.278e-05,0.00026571,0.00015919,0.00021189,1.884e-05,7.26e-06,0.00013013,3.45e-06,0.00013842
INS,repeats,5+,4,4e-06,0.0002883,0.00010965,7.89e-06,3.395e-05,1.573e-05,9.566e-05,6.101e-05,0.00019526
INS,repeats,5+,5+,9.909e-05,0.00016986,0.00039539,0.00015379,1.146e-05,8.8e-05,0.00011084,0.00043147,7.06e-06
DEL,MH,2,1,0.00010454,0.00040014,0.02075019,0.00146222,0.00686674,6.015e-05,0.00259479,0.18180598,0.00248649
DEL,MH,3,1,1.17e-06,1.917e-05,0.01377393,0.01002385,0.00024814,0.00124901,0.00247103,0.00611171,0.00145808
DEL,MH,3,2,0.00294595,0.0011511,0.0057799,0.00422526,0.00027443,0.00375533,0.00096629,0.04768925,0.00402719
DEL,MH,4,1,0.00012195,7.668e-05,0.00856662,0.00640237,0.00017667,0.00236035,0.00178533,0.00906667,6.778e-05
DEL,MH,4,2,0.00053328,7.284e-05,0.00413536,0.00060744,0.00025246,0.00768309,0.00308845,0.02972046,0.00096109
DEL,MH,4,3,0.0006626,7.88e-06,0.00156733,0.0001767,0,0.00490623,0.00116422,0.04269969,0.00206448
DEL,MH,5+,1,0.00048861,0,0.00547322,0.29927537,0.00074392,0.07764922,0.00039833,0.00023683,0.00120298
DEL,MH,5+,2,2.94e-06,0,0.00154235,0.09941858,0.00128922,0.2699381,0.0002587,0.00010472,0.00145055
DEL,MH,5+,3,0,0,0.00229823,0.01923951,0.00114857,0.2241343,0.00047869,0.00085149,0.00057096
DEL,MH,5+,4,0.00044885,0,5.769e-05,0.00062556,0.00038815,0.12673814,0.00017832,0.00275109,3.81e-06
DEL,MH,5+,5+,0.00230281,0.00040396,0.0012418,0.00048388,0,0.10466646,0.00022095,0.00113303,0.00088994
