Type,Subtype,Indel_size,Repeat_MH_size,W.1 (ID9 0.984),W.2 (ID1 1),W.3 (ID6 0.995),W.4 (ID3 0.993),W.5 (False Positive) (ID5 0.48),W.6 (ID13 0.985),W.7 (ID5 0.978),W.8 (ID2 1),W.9 (ID11 0.996),W.10 (False Positive) (ID14 0.888),W.11 (ID8 0.989),W.12 (ID4 0.999)
INS,C,1,5+,0,0.0228468985641921,0,0.00762212206944286,9.11376980643532e-232,0,0,0.00952592759395391,7.90918648269785e-103,0,0,0
INS,T,1,0,0.00981579953766588,0.00219148285623614,0.0060697592435775,0.0189314277823506,0.00624884312595738,0.0549792062770203,0.0038232424082919,0.00138431923844058,0,0.0507559140769606,0.0036084188702317,0.000932537246378285
INS,T,1,1,0.00733328430912794,0,0,0.0451268972867391,0,0,0.0129526213212447,0,0.352840935264711,0.00174168704453328,0.000872880506240939,0.000772021496531783
INS,T,1,2,0,0.000136761316177211,0,0.0450668028756868,0,0,0.036111486396521,0.00068957002656412,0.158149723548758,0.000612406728954598,0,0
INS,T,1,3,1.60677716931785e-62,0.00389386558250368,1.55951617016288e-07,0.0269962671038527,2.09578566551087e-64,0.00873249106143599,0.0229225445647769,0.00127286920151766,0.0981753398454456,0,1.61516564535975e-83,0
INS,T,1,4,0,0.0169258506717156,0.000482015000479667,0.00575535548253359,0.0105188405239076,0.0150597861581872,0.012705114552319,0.00338114263902832,0.0474018357434107,6.77587283567229e-32,0,5.75181559798399e-32
INS,T,1,5+,6.86821242948509e-190,0.908367061122957,4.53549746600535e-52,8.38846585069348e-49,2.07510321888128e-207,4.67934135704907e-234,6.28047541185729e-136,0.00368637668720167,0,4.75906382426273e-176,3.15637085323622e-62,9.07222118320506e-207
DEL,repeats,2,0,0.0148418143905164,0.000316405926129113,0.000945712895177253,0.00620555603107465,0,0.0268851340751733,0.0324373171561856,0.000176371731713744,0,4.47515597704224e-05,0.008282227964406,0.0715729395107087
DEL,repeats,2,1,0,1.23432998069584e-154,0,0.00897521217430442,0.0398587656756653,2.44611909109288e-52,0.022709438834009,0.00350714116416465,0.000341064927635108,0.0037234634632092,0.00535923694193856,0.242193579070133
DEL,repeats,2,2,1.66880577418738e-308,2.8621527416138e-05,0.0013123786822438,0.0128670162716301,0.00545884990199711,0.00282886765529339,0.00358525468983381,0.00191611983817261,1.90384152399208e-266,0.00196405914007584,0,0.0554283965234027
DEL,repeats,2,3,0,0.000282710420749031,0.000278221066608395,0.00734545266565081,2.14816416917061e-293,0,0,0.000785661045034619,0,0.000419110082660582,0,0.0109502508955358
DEL,repeats,2,4,0,0,0.000180516359589113,0.00347056327379085,5.11055145648714e-69,0.000499010020819835,0.000658098201313604,0.000975341557034895,0.000758160763120464,0,7.55571486139342e-05,0.00298517172561051
DEL,repeats,2,5+,0,0,0,7.81767359432384e-05,0,0,0.0282622494803395,0,0,0,0,0.0019710761136143
DEL,repeats,3,0,0.00353194374194328,0.000116514630964481,0.00103639424427579,0.00055376132171388,0.000125370033180142,2.59567545326003e-266,0.0224695533216711,0,1.16557030693392e-156,0.00128769336390464,0.0134136691547862,0.00496484033406361
DEL,repeats,3,1,1.1096052772951e-195,0.00429651088344226,0.00466721248062474,0,0.0260751224586328,0.000919352159619883,0.0029160170403544,0.0048424936100038,0,0.00187710853233839,0,0.095017456841944
DEL,repeats,3,2,0.00143413724686787,0.000567530802720247,4.05544790880941e-05,0,0.00495515678784439,1.87501350550531e-29,0,0.00230764468671148,0.000741596028644859,0.00096313403666509,0.000331600523682823,0.0211402469660011
DEL,repeats,3,3,0,0.000360628419059918,0,0,0.00405766680180161,0,0.000369285102905637,0.000387985633332961,0,0.000168589291862447,0.00014874320538441,0.00386753597579896
DEL,repeats,3,4,0,0,0,0,0,0,0.00771285274994585,0,0.000815670406478312,0,0,0.00028830889989491
DEL,repeats,3,5+,0,0,0,0,0,0,0.0114163453664543,0,0,0,0,0.000460768769207345
DEL,repeats,4,0,0.00175184360566136,4.96219866528862e-05,0.00203119750328057,0.000213586502557806,0.000500557341770849,0.000240675251273823,0.0145429493513069,5.96251684960068e-06,0,0.000211584730713912,0.00745620792315631,0.00777688682987688
DEL,repeats,4,1,0.00378422143453687,0.000448099777141859,0.00246445764675521,0.000400960576794072,0.0111261926913377,0,0.000740415778497374,0.00225812763089901,0,0,0.000147214160736139,0.0661173406690225
DEL,repeats,4,2,0,0,0.000237257289731731,1.95318955539378e-212,0,0,0,0.000606413310145923,0,0.000588288694404057,0,0.015713815439403
DEL,repeats,4,3,0,0,3.03917508741876e-267,0,0.000356799566689669,0,0.00496243065355611,3.86524393777665e-06,0,0,0,0.00478156741668607
DEL,repeats,4,4,0,0,0.000175945202367353,0,0,0,0.00563372036058573,0,0,0,0,0.000711340132322107
DEL,repeats,4,5+,0,1.94507313923797e-05,0,6.96092407379568e-05,0,0.000290976408848731,0.00215141429133793,0.000240668848623285,0,0,0,0.000703376233898324
DEL,repeats,5+,0,0,0,6.67443954453342e-11,0.00111690279730989,0,0.00462384198066854,0.0154548041778858,0,1.73574992593992e-292,0.000823419873977157,0.31363629619359,0.00405944453949755
DEL,repeats,5+,1,0,1.52426828523094e-283,0.00779856919224151,0,0,0.00300849380364986,0,0.00320289899485499,0,0,0,0.0168892278136712
DEL,repeats,5+,2,0,4.14922508919579e-05,0.000263529296899138,1.12708170181752e-05,0.00204735882173294,0.00027573275357482,0.000320265961764573,0.000424981313740116,0,0,0.00049681289968171,0.00243941513949997
DEL,repeats,5+,3,0,0,0.000202199220986965,0,0,0,0.000266495085177026,0.000167205209976595,0,0.000171856271842091,0,0.00143616631097135
DEL,repeats,5+,4,0,1.00338383733924e-05,2.36726721025514e-05,5.2410316133896e-05,8.64058255559717e-05,0,0.000111562286136821,7.44384525042244e-05,0,0,0.00015456956425871,0.00015934090962529
DEL,repeats,5+,5+,0,2.02217167227832e-05,0,0,0,0,0.000777511169253428,2.34477765817649e-05,0.000207219381145711,0.000333528435482062,0,0
INS,repeats,2,0,0.000466987169492553,0.000437118424551601,0.0022317128577627,0.00233649580501701,0.000580692493906294,0.01328253183641,0.00850881592109451,0.000311432558495924,0,0.038213850258193,0.00135154197888724,0.000748438415652235
INS,repeats,2,1,0.00109047410782217,0,6.21444723168541e-05,0.00269383833525939,0.00107287097718559,7.87763513919183e-05,0.0241117539270435,0.000280656347777279,8.65341039058417e-150,0,0.00170451053993348,4.14832780899233e-05
INS,repeats,2,2,0.00118740784700025,0.000275202937488387,0.000644066695901736,0.000994163602834125,0.000783756648396901,0,0.00935668967669888,0.00100596934832184,0,0.00186832471148088,8.06435317351392e-146,0.000107938698072118
INS,repeats,2,3,7.65437855198673e-06,0.000444277076375184,0.00058134528707924,0.000993114767300044,6.33947936097424e-111,0.00127464838953965,0.00118479356168779,0.000439927767176145,0.00115045836614385,0.000970754011626503,0.000142664148825631,0.000145536127395744
INS,repeats,2,4,0,0.00292196155790081,0,6.25611529097921e-05,0.00214779291331335,0,0,0.00200586958311107,0,0.00232197648258017,0,0
INS,repeats,2,5+,0,0.016167529861019,0.000113271529140495,0,0.0102379227880272,0.000389829741493101,0,0.0147224393329709,0,0,0.00139352332242238,0
INS,repeats,3,0,0.000137313209761706,0,0.00111213296277948,9.51509565494433e-05,8.27585397466267e-24,0,0.00533365493987676,5.15207277619585e-05,0,0.0100904808713352,0.000534974412110684,0
INS,repeats,3,1,0,0.00034221141849056,9.22190265977268e-05,1.44744605964423e-05,0.00225864757703084,0.00472666360075523,0.00684056269861286,0.00119235555292749,4.49684862896409e-117,0.00350396873833877,0.000752519508352453,0.00039583469087884
INS,repeats,3,2,0,0,0.00057128057984394,1.35543779089293e-05,0.0023014226500155,0,0.00161004495945314,0.000193925115402793,1.03285319869756e-225,2.09217277852388e-05,0.000169798625086576,0.000396824878198666
INS,repeats,3,3,0,0.000121434672751496,0.00022936369965135,0,0,0,2.85276547585927e-05,3.23188368330891e-75,0,0.000410446031916047,2.87014701862939e-06,0.000125778388276753
INS,repeats,3,4,0,8.82275459276483e-05,0.000208403503527348,9.72045681190482e-06,0,0,0,0.000137861782881762,0,0.000587451831600425,0.000123762748944047,8.63375966313848e-05
INS,repeats,3,5+,0,0.00100453396874572,3.45905794865737e-05,5.12315633994299e-05,9.10578535899314e-27,0,0,0.00196448020479086,0,0.00355532754237621,0,0
INS,repeats,4,0,5.75219050679285e-179,0,0.00195655384659556,0,0,0.00102826075501427,0.00316134788158362,1.27975615559351e-05,0,0.00810814219982292,0.000801443484889237,0
INS,repeats,4,1,0,0.000754447450860597,8.01929955120241e-05,1.43786032846398e-106,0.0108306563279781,0.00230975326367887,0.00361486517442525,0.00111245896713893,0,0.00177173153476511,0.00148770056180006,0.0010583612971286
INS,repeats,4,2,0,8.07346504671599e-05,0.000653566480712158,0.000117145578783076,0,0,0.000295306609256397,4.72061164435944e-06,0.00034217826211608,2.55629880680015e-05,0,0
INS,repeats,4,3,0,0.000147055399788616,0.000330513255170207,2.56695431493836e-05,0,0,0,0.000138776581155793,0,0.00138091446287601,0,0
INS,repeats,4,4,0,0.00028341165663238,0.000124144274146329,0,0,0.000217270926032561,0,0.000278432472426443,0,0.0029405307256381,6.17458891344232e-05,1.32695251894163e-54
INS,repeats,4,5+,0,0.000938686355327999,0,0,0.00506148999243231,0,0.00035121069124628,0.00210284500617385,0,0,0.000917157291543663,0
INS,repeats,5+,0,0,0,0.00951437827761032,0,0,0.00301433244290643,0.00592589469391954,0,0.000299470466841775,0.00511227709253375,0,0
INS,repeats,5+,1,0.0011382684614976,0.00123874101667116,0.00485005764299302,0.000358177440791045,8.13358905637967e-166,0.0188828704762854,0.00450856641403052,0.000202149633886534,0,0.0434880044767097,0.0112849928588197,0.000457150644451755
INS,repeats,5+,2,0,0.000273637669134996,0.0018397283195367,9.85175057316504e-06,0,0.000117451915386155,0.00029953734769036,0,0,0.000701735593608639,0,0.00017494124280415
INS,repeats,5+,3,0,0.000292839467277001,0,1.19341193619196e-05,0,1.31305861787725e-05,0.000204867361177208,0.000105262301020017,0,7.83829989992529e-68,0.000157031295864767,0
INS,repeats,5+,4,6.74301288156089e-05,0.000290491859423602,8.65405963959706e-06,2.52192860016005e-05,4.40886677636075e-216,3.48845072075737e-05,0.000137416978464734,0,0,0.000224275451986377,0,5.70222150627684e-05
INS,repeats,5+,5+,0,0.000138195869475358,7.47163974185783e-05,0,0.00010446422996828,0,0.000578609149404927,0.000126767375644196,0,0,0.000114215800653227,0.000466219588109547
DEL,MH,2,1,0,0.000819208684284429,0,0.00652414765305497,0,0.00967737426139925,0.0320046919965296,0.000115049380536493,0,2.27692489163356e-06,3.72623070053525e-06,0.199782525977943
DEL,MH,3,1,0.00220475925033464,3.41646862575171e-05,0.000477032787863936,0,0,2.42594937148175e-79,0.0173402858986494,5.48914513135135e-220,0.00151122384415231,0.00203218991596723,0.0116489168357336,0.00653026899959911
DEL,MH,3,2,7.85456171063834e-156,0.00102784189132276,0.00390839403749535,0.000150655594119822,2.70698272055096e-99,2.0386268868181e-235,0.00941864565961573,0.00313819380125662,0,0.00468525412927228,0.0046866400629841,0.0519385179898117
DEL,MH,4,1,0.00163607475359265,6.94096319827855e-05,0.002078917803928,0,0.000141623002958221,4.67429580568626e-145,0.0110923622440757,0.000131484343459893,0,0,0.00745150757050827,0.00979814504583682
DEL,MH,4,2,0.00381508103343314,8.79841931529049e-05,0.00854449552038329,0.000108741413281657,0.000397965323575337,0,0.00660761143581956,0.000532083152836023,0,0.000817517776702998,2.43439054855098e-05,0.0324279581561173
DEL,MH,4,3,0.00061445611570505,0,0.00527449909148922,0,0.00639202041464319,0,0.00300040365705279,0.000659295783874211,0,0.00231261291932429,0,0.0473585986373655
DEL,MH,5+,1,0,0,0.0573431248914974,0,4.38127796886453e-91,0,3.63871055039179e-139,0.000581300411413066,0,0,0.365259472932253,0
DEL,MH,5+,2,9.7846307590516e-281,0,0.289799008676602,0.00150383059227089,1.4663503366294e-217,6.85556705062333e-42,0.00380799340227838,4.95275005508475e-05,0,0.00152808357758566,0.123547354609039,0
DEL,MH,5+,3,0,0,0.247606065534614,0.00126933709826499,0,0,0.00621750518812698,0,0,0.0009238821205238,0.0253867138424029,0.000478097807382636
DEL,MH,5+,4,1.72681133836618e-183,0,0.141488339753791,0.000679081372453371,2.58945934103836e-258,0,0.00172490887624643,0.000444357913254838,0,0,0.00144555085420766,0.00324706425443556
DEL,MH,5+,5+,0,0.000483378964506265,0.116798070899635,0,1.08917880360227e-87,0.0163736401324256,0,0.00234555342978408,0,0.00105403369837417,4.47427714149888e-165,0
